filename	title	title_abq	author	genre	subgenre	date	year	orth
41_9857-1.para	Абазины и абхазы: проблемы и перспективы развития	Абазакви апсуакви: атшауацӀыхра ауыскви агвыгъаракви	Неизвестно	nonfiction	press	20.10.15	2015	cyr
42_3464-1.para	Звучит «уарайда» из глубины веков	Асквшышв хъараква йгӀарылггӀитӀ «Уарайда»	Мурат Аджиев	nonfiction	press	21.10.15	2015	cyr
43_3809-1.para	Клуб «абаза» — за здоровое будущее страны	«Абаза» клуб акъраль абзазагӀвчва рызгӀвадара йазынхитӀ	Элана Ласурия	nonfiction	press	23.10.15	2015	cyr
44_6199-1.para	История происхождения фамилии Ахба	АхбаргӀа рткъвымхьыз шгӀаншаз атурых	Диана Ахба	nonfiction	press	07.11.15	2015	cyr
45_3815-1.para	Искусство объединяет мир	«Азъазара а-Дуней аднакӀылитӀ»	Шазина Куцниа	nonfiction	press	11.11.15	2015	cyr
46_6768-1.para	Общественные организации КЧР решили еще раз обратиться к главе республики	Ажвлара организацияква Къарча-Черкес республика а-Хъада тшатайзынадырхахырныс йщаквдыргылтӀ	Неизвестно	nonfiction	press	12.11.15	2015	cyr
47_12959-1.para	Долина теберды – еще одна страница истории	Теберда псыхӀва — ауи хӀтурых анапаква йрыуазакӀыпӀ	Мурат Аджиев	nonfiction	press	16.11.15	2015	cyr
48_4011-1.para	Турция становится ближе	Трыквшта рыцӀа-рыцӀа йгӀаргванхитӀ	Ведат Мекер	nonfiction	press	16.11.15	2015	cyr
49_3782-1.para	Этнопраздник «Связь поколений» в Лыхны	Лыхны апны ауагӀахъа гвыргъьарамш «Абанпараква рамдара» акӀвшатӀ	Шазина Куцниа	nonfiction	press	22.11.15	2015	cyr
50_3556-1.para	О спорт, ты – мир!	Аспорт амамырра йадамыгъапӀ	Муминат Ешерова	nonfiction	press	25.11.15	2015	cyr
51_3987-1.para	В Абхазии издан первый биографический словарь	Апсны апны йапхъахауата биография ажвар гӀацӀцӀтӀ	Элана Ласурия	nonfiction	press	26.11.15	2015	cyr
52_14761-1.para	Некоторые проблемы защиты прав коренных малочисленных народов Российской Федерации	Россия Федерация апны зпхьадзара мачӀу атачӀв уагӀахъаква рхвитнагӀаква рхчара йазынарху ауысква	Неизвестно	nonfiction	press	30.11.15	2015	cyr
53_8913-1.para	Из истории абазинского рода Трам	Абаза ткъвым ТрамргӀа ртурых йгӀалхпӀ	Мурат Аджиев	nonfiction	press	05.12.15	2015	cyr
54_6142-1.para	Все остается людям	ЗымгӀва ауагӀа йырзыгӀанхитӀ	Инна Квициния	nonfiction	press	18.12.15	2015	cyr
55_5899-1.para	В надежде на возрождение	АгӀащаквыргылхра хӀайгвгъитӀ	Мурат Аджиев	nonfiction	press	27.12.15	2015	cyr
57_4536-1.para	Музыкальные инструменты абхазов	Апсуаква рмузыка ъамапсымаква	Щазина Куцниа	nonfiction	press	18.01.16	2016	cyr
59_6447-1.para	Я – абаза и это счастье!	Насыпта йспхьадзитӀ съабазу	Хайрие Дюндар	nonfiction	press	06.02.16	2016	cyr
88_22521-1.para	Насыщенный событиями год	АгӀаншара бзиквала йырчвыз асквш	Неизвестно	nonfiction	press	31.12.16	2016	cyr
Аджибеков-3-СыцӀхкви	Ночи и дни	СыцӀхкви сымшкви	Хаджисмель Аджибеков	poetry				cyr
Аджибеков-4	Домик из детства	ЙгӀасгвалашвахтӀ	Хаджисмель Аджибеков	poetry	children's			cyr
Аджибеков-5-Аладзква	Спсадгьыл аладзква	Слёзы родины	Хаджисмель Аджибеков	poetry				cyr
Аджибеков-5	Дороги и судьбы	АмгІвакви алахькви	Хаджисмель Аджибеков	poetry				cyr
Апсова-2	Новоселье птичек	АцӀисква ртыдзталхьа	Фатима Апсова	fiction	children's			cyr
Апсова-3	Шаловливые козлята	Адзара маджьанхвыцква	Фатима Апсова	fiction	children's			cyr
Апсова-5-Адауышвара	Тишина	Адауышвара	Фатима Апсова	poetry				cyr
Аспова-4-ЙыгӀвитӀ	Реки быстрые бегут	ЙыгӀвитӀ адзыгӀвква закӀ ахъазла…	Фатима Апсова	poetry				cyr
Шебзухова-1-ЦӀис	Птичка	ЦӀис	Лариса Шебзухова	fiction	children's			cyr
Шебзухова-2-Шварах	Олени	Шварах	Лариса Шебзухова	fiction	children's			cyr
Шебзухова-3-Атшада	Ослик	Атшада	Лариса Шебзухова	fiction	children's			cyr
Шебзухова-4-Ашвындыкъвара	Сокровищница языка	ХӀыбызшва ашвындыкъвара	Лариса Шебзухова	fiction	children's			cyr
Шебзухова-5-Араъа	Там, где живут абазины	Араъа абаза уагӀа бзазитӀ	Лариса Шебзухова	fiction	children's			cyr
Шебзухова-6-Трамтш	Трам	Трамтш	Лариса Шебзухова	fiction	children's			cyr
Шебзухова-7-ПшгӀара	Поиск	ПшгӀара	Лариса Шебзухова	poetry				cyr
